algorithm,category,file,n,m,time,exitcode,output
p5,dense,dense/dense_01.txt,10,31,0.003435380000155419,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_01.txt
p5,dense,dense/dense_02.txt,15,68,0.0023894739997558645,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_02.txt
p5,dense,dense/dense_03.txt,12,52,0.002250601000014285,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_03.txt
p5,dense,dense/dense_04.txt,20,114,0.002292978000241419,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_04.txt
p5,dense,dense/dense_05.txt,8,23,0.003321683000194753,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_05.txt
p5,dense,dense/dense_06.txt,18,107,0.0026189850000264414,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_06.txt
p5,dense,dense/dense_07.txt,14,68,0.0021896100001868035,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_07.txt
p5,dense,dense/dense_08.txt,16,81,0.002188789000229008,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_08.txt
p5,dense,dense/dense_09.txt,22,143,0.002457845000208181,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_09.txt
p5,dense,dense/dense_10.txt,25,165,0.0022632680002061534,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/dense/dense_10.txt
p5,highly_connected,highly_connected/highly_connected_01.txt,5,10,0.002438637000068411,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_01.txt
p5,highly_connected,highly_connected/highly_connected_02.txt,7,21,0.0019354149999344372,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_02.txt
p5,highly_connected,highly_connected/highly_connected_03.txt,9,17,0.0025179539998134715,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_03.txt
p5,highly_connected,highly_connected/highly_connected_04.txt,25,40,0.002584814000329061,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_04.txt
p5,highly_connected,highly_connected/highly_connected_05.txt,12,22,0.003019862000201101,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_05.txt
p5,highly_connected,highly_connected/highly_connected_06.txt,7,12,0.002096945000175765,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_06.txt
p5,highly_connected,highly_connected/highly_connected_07.txt,10,15,0.0016016079998735222,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_07.txt
p5,highly_connected,highly_connected/highly_connected_08.txt,20,120,0.0016522490000170365,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_08.txt
p5,highly_connected,highly_connected/highly_connected_09.txt,15,19,0.001871290999588382,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_09.txt
p5,highly_connected,highly_connected/highly_connected_10.txt,30,83,0.002349085000332707,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/highly_connected/highly_connected_10.txt
p5,large,large/large_01.txt,1000,1500,0.003218016999653628,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/large/large_01.txt
p5,large,large/large_02.txt,1200,1800,0.004046840000228258,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/large/large_02.txt
p5,large,large/large_03.txt,900,2500,0.00551371499977904,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/large/large_03.txt
p5,large,large/large_04.txt,1100,2000,0.0037707530000261613,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/large/large_04.txt
p5,large,large/large_05.txt,1000,3000,0.0039119449997997435,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/large/large_05.txt
